comment_date,BERT_Compound,date,open,high,low,close,volume
2024-01-02,0.7345636812924164,2024-01-02,44179.55,45879.63,44148.34,44946.91,65146.40661
2024-01-03,0.7268798173475666,2024-01-03,44946.91,45500.0,40750.0,42845.23,81194.55173
2024-01-04,0.7124428875171221,2024-01-04,42845.23,44729.58,42613.77,44151.1,48038.06334
2024-01-05,0.7158623032386486,2024-01-05,44151.1,44357.46,42450.0,44145.11,48075.25327
2024-01-06,0.7036703663212912,2024-01-06,44145.12,44214.42,43397.05,43968.32,17835.06144
2024-01-07,0.6976928513716248,2024-01-07,43968.32,44480.59,43572.09,43929.02,23023.8508
2024-01-08,0.7137387380549444,2024-01-08,43929.01,47248.99,43175.0,46951.04,72814.57589
2024-01-09,0.7193316246502127,2024-01-09,46951.04,47972.0,44748.67,46110.0,69927.66617
2024-01-10,0.7295821390136662,2024-01-10,46110.0,47695.93,44300.36,46653.99,89911.41203
2024-01-11,0.7218594695505757,2024-01-11,46654.0,48969.48,45606.06,46339.16,87470.3296
2024-01-12,0.7107285816953113,2024-01-12,46339.16,46515.53,41500.0,42782.73,86327.93707
2024-01-13,0.6963870633863708,2024-01-13,42782.74,43257.0,42436.12,42847.99,36118.47464
2024-01-14,0.7139723611693097,2024-01-14,42847.99,43079.0,41720.0,41732.35,28228.40894
2024-01-15,0.7049079433564217,2024-01-15,41732.35,43400.43,41718.05,42511.1,40269.89303
2024-01-16,0.7134950155435607,2024-01-16,42511.1,43578.01,42050.0,43137.95,45045.74589
2024-01-17,0.7159718268534594,2024-01-17,43137.94,43198.0,42200.69,42776.1,33266.21388
2024-01-18,0.6984687086115492,2024-01-18,42776.09,42930.0,40683.28,41327.5,43907.51641
2024-01-19,0.7162007179845221,2024-01-19,41327.51,42196.86,40280.0,41659.03,48342.74559
2024-01-20,0.6919850400134698,2024-01-20,41659.03,41872.56,41456.3,41696.04,15923.99493
2024-01-21,0.6903378008133164,2024-01-21,41696.05,41881.39,41500.98,41580.33,11730.16301
2024-01-22,0.7057748022763168,2024-01-22,41580.32,41689.65,39431.58,39568.02,55426.19911
2024-01-23,0.7021777968657644,2024-01-23,39568.02,40176.74,38555.0,39897.6,57956.63351
2024-01-24,0.7260153980155266,2024-01-24,39897.59,40555.0,39484.19,40084.88,39293.82861
2024-01-25,0.7080438599206399,2024-01-25,40084.89,40300.24,39550.0,39961.09,31022.11853
2024-01-26,0.7234362003595932,2024-01-26,39961.09,42246.82,39822.52,41823.51,47384.96726
2024-01-27,0.6999178985390094,2024-01-27,41823.51,42200.0,41394.34,42120.63,16224.41667
2024-01-28,0.7100149488248745,2024-01-28,42120.63,42842.68,41620.81,42031.06,27294.99838
2024-01-29,0.7158763749675238,2024-01-29,42031.05,43333.0,41804.88,43302.7,31542.74207
2024-01-30,0.7083010198462993,2024-01-30,43302.71,43882.36,42683.99,42941.1,37619.24546
